unique_id,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline
DP-14,,KT778353C,IQ,DWP,Yes,4,5,,2019-02,2020-12,Entry level 2,Level 5+,,No,,,subject,Don't know,ULA,Don't know,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
NB-83,pattern,AT184011A,FK,Home Office,Yes,1,4,,2018-10,2021-06,Level 1,Below formal levels,,No,,,show,Yes,UNLA,,2,formal education,Asylum accommodation,
KD-22,,HK396217B,BM,Migrant Help,No,,,,2017-05,2021-07,Entry level 3,Level 1-2,,Yes,free,lose,dinner,Don't know,Other,,69,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness
BW-90,,SN335773C,DE,Home Office,No,3,4,,2020-06,2021-06,Pre-entry,Level 5+,,No,,,stay,Don't know,ULA,8 to 15 hours,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness
OT-83,,,ZM,Self-referrals,Yes,,,,2019-11,2021-07,Entry level 3,Below formal levels,,No,,,reveal,Yes,SE,31 to 48 hours,,formal education,Renting - Local authority or housing association,
GA-61,,CL838614B,CC,Primary Care,Yes,1,,,2017-09,2020-11,Below formal levels,Entry level,,No,,,such,No,UNLA,16 to 30 hours,16,Not in formal education,Publicly funded temporary accommodation,
KD-68,,TP591747D,VC,Peer,Yes,7,,,2019-11,2020-09,Level 1,Level 3-4,,Yes,enough,order,budget,No,PC,,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness
QP-86,yard,MG869947D,MF,Local VCS,Yes,,,,2019-01,2021-07,Below formal levels,Below formal levels,,No,,,together,No,TC,8 to 15 hours,2,Not in formal education,Asylum accommodation,
XU-65,world,XE348209B,UA,DWP,No,,2,,2017-08,2021-05,Below formal levels,Level 3-4,,Yes,the,thought,speak,No,UNLA,,76,Not in formal education,Homeless and rough sleeping,Statutory homelessness
JO-00,without,NG942915C,GS,Peer,Yes,,,,2019-04,2021-01,Entry level 2,Level 5+,,Yes,bank,region,skin,No,ZHC,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),
TH-78,,BS685311D,CK,Primary Care,No,,5,,2017-08,2020-11,Entry level 1,Level 1-2,,Yes,thing,best,style,Don't know,UNLA,16 to 30 hours,6,Not in formal education,Publicly funded temporary accommodation,
FI-70,phone,PA949697D,BM,Peer,No,,,"5-11, Caring responsibilities for an adult",2019-04,2021-07,Beyond Level 2,Unknown,25,No,,,fish,No,SE,0 to 7 hours,,Not in formal education,Renting - private sector,
JC-47,world,BL855126B,TD,HO providers,Yes,0,4,,2017-07,2020-11,Entry level 3,Entry level,,No,,,cover,No,TC,8 to 15 hours,,formal education,Other safe and secure accommodation,
FE-53,everybody,MK252298D,LR,Local VCS,No,,,,2018-08,2021-01,Entry level 1,Level 3-4,,No,,,bill,Yes,ZHC,49 or more hours,,formal education,Other safe and secure accommodation,
XW-30,hot,JC666583B,AL,Migrant Help,No,,8,11-17,2018-04,2021-06,Level 2,Level 5+,,Yes,necessary,as,thought,Don't know,UNLA,,,formal education,Other safe and secure accommodation,
YU-67,address,LX491740A,BO,HO providers,No,7,,,2017-11,2021-03,Below formal levels,Level 5+,,Yes,drive,behind,water,Don't know,ZHC,8 to 15 hours,76,formal education,Publicly funded temporary accommodation,
OR-06,,RG966860D,FR,Migrant Help,Yes,,6,,2017-10,2021-03,Below formal levels,Unknown,24,No,,,investment,No,ZHC,,,formal education,Renting - Local authority or housing association,
MG-14,,EX751113D,MH,Peer,No,1,3,11-17,2018-07,2020-08,Below formal levels,Level 3-4,,No,,,bring,Yes,ZHC,,,formal education,Homeless and rough sleeping,Non-statutory homelessness
OZ-39,international,PC936912A,MR,Self-referrals,Yes,8,5,,2020-02,2021-10,Entry level 1,Level 3-4,,Yes,identify,more,few,Don't know,ZHC,Don't know,58,Not in formal education,Other safe and secure accommodation,
JH-86,budget,AB211787C,KP,Other,No,5,,,2017-12,2021-11,Level 1,Level 3-4,,No,,,give,No,ULA,,,formal education,Other safe and secure accommodation,
EO-17,,PR328972B,TK,Other,Yes,,,0-4,2020-05,2021-05,Entry level 3,Below formal levels,,No,,,value,Yes,Other,31 to 48 hours,,formal education,Self-funded temporary accommodation (e.g. hotel),
FT-80,step,MM273480B,NL,Self-referrals,No,,0,"11-17, Caring responsibilities for an adult",2017-11,2021-07,Entry level 1,Unknown,22,No,,,best,No,SE,0 to 7 hours,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
SQ-93,statement,MB947641D,EH,Local VCS,No,,,"11-17, Caring responsibilities for an adult",2018-04,2021-04,Level 2,Unknown,18,Yes,south,spring,argue,No,CIH,0 to 7 hours,,Not in formal education,Publicly funded temporary accommodation,
IK-40,idea,KW606931D,BW,Home Office,No,,,,2019-10,2021-05,Entry level 2,Entry level,,Yes,feeling,difficult,forget,Yes,ZHC,,16,formal education,Asylum accommodation,
QI-15,,TH920059D,GT,Primary Care,No,,3,"0-4, 5-11",2019-05,2021-08,Below formal levels,Unknown,16,Yes,son,kind,book,Yes,ZHC,,63,Not in formal education,Renting - Local authority or housing association,
ZS-04,,GW969400B,TW,Home Office,Yes,,,,2019-09,2020-12,Entry level 1,Unknown,14,No,,,school,Yes,UNLA,,17,Not in formal education,Renting - private sector,
GA-03,herself,BY214659A,KI,Other,No,,,Caring responsibilities for an adult,2017-04,2021-01,Pre-entry,Entry level,,No,,,difficult,No,Other,,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness
PE-44,trip,XN157483B,EH,Primary Care,Yes,,2,,2019-02,2021-12,Level 2,Level 1-2,,No,,,once,Don't know,TC,,62,formal education,Renting - private sector,
PZ-88,car,TJ360492B,JP,Other,Yes,,7,,2020-01,2021-10,Level 2,Below formal levels,,Yes,understand,official,detail,No,SE,,87,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness
RC-47,maybe,LL596227D,KP,Other Health,No,2,7,,2018-02,2020-09,Level 1,Level 3-4,,Yes,total,help,everyone,No,PC,31 to 48 hours,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness
EK-73,author,,VN,Home Office,No,,3,Caring responsibilities for an adult,2019-03,2021-04,Entry level 3,Unknown,21,Yes,better,white,idea,Don't know,ZHC,Don't know,,formal education,Renting - private sector,
OL-56,,MK047887A,CC,Local VCS,No,,4,,2018-12,2021-09,Level 1,Entry level,,Yes,car,wish,church,No,ZHC,8 to 15 hours,,formal education,Publicly funded temporary accommodation,
PM-37,mean,NR071913C,PS,Other Health,No,3,,"0-4, 5-11",2017-08,2020-09,Entry level 2,Level 5+,,No,,,hard,No,Other,Don't know,,Not in formal education,Publicly funded temporary accommodation,
PD-33,property,KY188950B,SA,LA,No,,,,2018-06,2021-01,Pre-entry,Level 1-2,,Yes,technology,participant,include,Don't know,CIH,49 or more hours,39,formal education,Other safe and secure accommodation,
JQ-06,war,XY077555B,BW,Other,Yes,4,,Caring responsibilities for an adult,2018-12,2020-06,Level 2,Level 5+,,No,,,member,No,TC,,66,formal education,Renting - private sector,
VF-98,,ZR494140B,VU,HO providers,Yes,,3,"0-4, Caring responsibilities for an adult",2018-08,2021-05,Level 1,Level 1-2,,No,,,pass,Yes,UNLA,,,formal education,Renting - Local authority or housing association,
