unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
DP-14,,hundred,between,1984,Man,Trafford Council,2022-08,,,,,,,,KT778353C,IQ,DWP,Yes,4,5,,2019-02,2020-12,Entry level 2,Level 5+,,No,,,subject,Don't know,ULA,Don't know,,Not in formal education,Homeless and rough sleeping,Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,,,dream,Employment,2022-12-11,TC,ZHC,49 or more hours,34,formal education,tough,various,,,,,,,,,agree,2021-11-09,upon
NB-83,his,decision,job,1981,Man,Newcastle City Council,2021-11,,,,,,,pattern,AT184011A,FK,Home Office,Yes,1,4,,2018-10,2021-06,Level 1,Below formal levels,,No,,,show,Yes,UNLA,,2,formal education,Asylum accommodation,,,Creation,2022-11-07,tbc,tbc,tbc,anyone,6 month,2023-05-21,tbc,tbc,tbc,wear,12 month,2023-11-22,tbc,tbc,tbc,,2023-04-27,"employability, mentoring and/or coaching, qualifications or skills, training course",,Self-employment,2022-12-30,CIH,,8 to 15 hours,72,Not in formal education,exactly,third,,2023-09-08,ZHC,0 to 7 hours,77,Not in formal education,ok,full,,,
KD-22,,human,oil,1962,Non-binary,Middlesbrough Council,2021-10,,,,,,,,HK396217B,BM,Migrant Help,No,,,,2017-05,2021-07,Entry level 3,Level 1-2,,Yes,free,lose,dinner,Don't know,Other,,69,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,dream,Creation,2023-01-30,tbc,tbc,tbc,discussion,6 month,2023-06-04,tbc,tbc,tbc,,,,,,,,2023-03-13,"Internship, Volunteering, business plan for self-employment, employability, mentoring and/or coaching",more,Self-employment,2022-12-26,TC,TC,16 to 30 hours,90,Not in formal education,design,whether,star,2023-10-12,CIH,49 or more hours,68,Not in formal education,Congress,agent,,2022-09-14,religious
BW-90,certainly,certainly,them,1996,Prefer not to say,Darlington Borough Council,2022-09,,,,,,,,SN335773C,DE,Home Office,No,3,4,,2020-06,2021-06,Pre-entry,Level 5+,,No,,,stay,Don't know,ULA,8 to 15 hours,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,Creation,2023-02-23,tbc,tbc,tbc,,6 month,2023-05-22,tbc,tbc,tbc,,12 month,2023-11-21,tbc,tbc,tbc,represent,2023-06-05,"business plan for self-employment, training course, work experience",,Self-employment,2022-11-18,TC,,0 to 7 hours,73,formal education,box,agent,,2023-07-26,PC,31 to 48 hours,69,Not in formal education,whose,Democrat,,,
OT-83,,size,focus,1987,Prefer not to say,Gateshead Council,2022-01,,2022-12-07,RLA,despite,2023-04-29,RPC,,,ZM,Self-referrals,Yes,,,,2019-11,2021-07,Entry level 3,Below formal levels,,No,,,reveal,Yes,SE,31 to 48 hours,,formal education,Renting - Local authority or housing association,,open,Creation,2023-01-05,tbc,tbc,tbc,doctor,6 month,2023-05-19,tbc,tbc,tbc,,,,,,,drive,2023-05-30,"mentoring and/or coaching, qualifications or skills",,Self-employment,2022-11-17,TC,,49 or more hours,99,Not in formal education,society,business,,,,,,,,,,,
WQ-07,,position,recognize,1965,Woman,Sandwell Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-20,tbc,tbc,tbc,,,,,,,,,,,,,,,,deal,Employment,2022-12-09,CIH,Other,49 or more hours,16,Not in formal education,also,network,,,,,,,,,,,
GA-61,case,right,dark,1983,Non-binary,North Tyneside Council,2022-01,,,,,,,,CL838614B,CC,Primary Care,Yes,1,,,2017-09,2020-11,Below formal levels,Entry level,,No,,,such,No,UNLA,16 to 30 hours,16,Not in formal education,Publicly funded temporary accommodation,,step,Creation,2022-11-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17,
KD-68,card,animal,successful,1978,Non-binary,Wolverhampton Council,2021-11,,,,,,,,TP591747D,VC,Peer,Yes,7,,,2019-11,2020-09,Level 1,Level 3-4,,Yes,enough,order,budget,No,PC,,,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,,,,,,,,,,,,,,,,,,,,,,performance,Self-employment,2022-10-29,TC,,8 to 15 hours,86,formal education,she,though,,,,,,,,,,,
QP-86,power,style,large,1988,Non-binary,North Tyneside Council,2021-12,,2022-12-05,RLA,,2023-08-31,other,yard,MG869947D,MF,Local VCS,Yes,,,,2019-01,2021-07,Below formal levels,Below formal levels,,No,,,together,No,TC,8 to 15 hours,2,Not in formal education,Asylum accommodation,,,Creation,2022-10-08,tbc,tbc,tbc,,,,,,,,,,,,,,,,discover,Self-employment,2023-01-22,PC,,Don't know,33,formal education,student,anyone,,,,,,,,,,2022-01-26,
JV-17,,business,measure,1983,Woman,Trafford Council,2021-11,,2022-12-12,other,,2023-06-09,other,,,,,,,,,,,,,,,,,,,,,,,,,well,Creation,2023-01-08,tbc,tbc,tbc,they,6 month,2023-06-05,tbc,tbc,tbc,police,12 month,2023-12-20,tbc,tbc,tbc,power,2023-06-10,"Volunteering, another specified activity, work experience",girl,Employment,2022-11-06,Other,,49 or more hours,14,formal education,receive,knowledge,hand,2023-09-04,TC,0 to 7 hours,11,formal education,energy,appear,,,
